date,price,market_cap,mvrv,btc_price,fear_greed
2022-04-23,2941.41439567504,349711925196.07965,1.367742385053,39582.4548720047,24.0
2022-04-24,2924.17223728813,347696717281.1342,1.361333643483,39511.6456928697,24.0
2022-04-25,3012.2152773232,358195536319.566,1.394370726492,40473.7483176505,23.0
2022-04-26,2801.38247457627,333153917601.94507,1.3161138055,38072.800873758,27.0
2022-04-27,2886.84557685564,343347605118.89703,1.350173851942,39218.5376174752,21.0
2022-04-28,2934.09959088252,348998096029.4837,1.36759580833,39747.9894270018,24.0
2022-04-29,2815.62725832846,334935607139.40985,1.322752776082,38609.5059070719,23.0
2022-04-30,2729.73245441262,324746931478.47095,1.290301969578,37714.0949804208,20.0
2022-05-01,2829.09136440678,336406685697.2194,1.330960822352,38459.226979135,22.0
2022-05-02,2861.52780946815,340288368000.28955,1.343938730086,38566.0628877849,28.0
2022-05-03,2780.92367007598,330728437975.5447,1.311013566487,37704.4053153127,27.0
2022-05-04,2936.76534658095,349292320625.9672,1.371085550584,39641.852176505,21.0
2022-05-05,2746.63528112215,326704972289.3031,1.298515135149,36502.0245601403,27.0
2022-05-06,2697.48142811221,320887324275.6534,1.280782216899,36042.9995584453,22.0
2022-05-07,2636.53088603156,313667956321.8131,1.256016680483,35508.7110227937,23.0
2022-05-08,2519.63678281707,299792674682.8692,1.217235523061,34058.9066861484,18.0
2022-05-09,2257.95058188194,268677456167.59583,1.112805911974,30457.9218194039,11.0
2022-05-10,2342.92739614261,278811607113.6309,1.152923773082,30990.7351659848,10.0
2022-05-11,2068.27522092344,246132822826.8101,1.040108390432,28796.5568217417,12.0
2022-05-12,1958.4534585038,233056064229.88257,1.000496031055,29030.7070417884,12.0
2022-05-13,2016.05178404442,239926429792.72504,1.031216245577,29285.9346718293,10.0
2022-05-14,2053.09169362946,244358110681.88028,1.048530170782,30051.935755114,9.0
2022-05-15,2138.96401139684,254605611336.89404,1.087303710992,31182.6212460549,10.0
2022-05-16,2022.61946464056,240782478744.97412,1.035314317901,29889.6124757452,14.0
2022-05-17,2092.88074547048,249171264983.47723,1.07250012727,30438.1944476914,8.0
2022-05-18,1921.00792752776,228732451401.7555,0.99746002707,28771.2204786675,12.0
2022-05-19,2016.37226154296,240111883742.04,1.042300323307,30257.8852483928,13.0
2022-05-20,1962.03072969024,233664177857.4518,1.018530233783,29224.245998422,13.0
2022-05-21,1973.77449105786,235087706728.65784,1.02451734349,29420.0782857978,13.0
2022-05-22,2044.56454897721,243544487687.68713,1.057320760145,30331.87514173,14.0
2022-05-23,1970.62047516072,234760623478.52893,1.025362904507,29088.2515419638,10.0
2022-05-24,1977.80444576271,235639767483.4436,1.036226034234,29643.6837556984,12.0
2022-05-25,1944.32836265342,231673797114.3004,1.0216594964,29577.259880187,11.0
