date,mvrv_zscore_raw,mvrv_zscore,mvrv_zscore_sell,ma_200w_raw,ma_200w,ma_200w_sell,monthly_rsi_raw,monthly_rsi,monthly_rsi_sell,eth_btc_ratio_raw,eth_btc_ratio,eth_btc_ratio_sell,mayer_multiple_raw,mayer_multiple,mayer_multiple_sell,fear_greed_raw,fear_greed,fear_greed_sell
2015-11-17,2.1699646779899133,50,0,,50,0,2.2288383055477965,100,0,-1.714248034687916,100,0,,50,0,,50,0
2015-11-18,2.156722578719017,50,0,,50,0,2.2288383055477965,100,0,-1.7145319325691517,100,0,,50,0,,50,0
2015-11-19,1.9374772418313293,50,0,,50,0,2.2288383055477965,100,0,-1.7182883834673748,100,0,,50,0,,50,0
2015-11-20,1.8542460045605935,50,0,,50,0,2.2288383055477965,100,0,-1.7193075244253677,100,0,,50,0,,50,0
2015-11-21,2.008102619251561,50,0,,50,0,2.2288383055477965,100,0,-1.715526655750743,100,0,,50,0,,50,0
2015-11-22,2.0416145346838888,50,0,,50,0,2.2288383055477965,100,0,-1.7133431946304303,100,0,,50,0,,50,0
2015-11-23,1.788840506200851,50,0,,50,0,2.2288383055477965,100,0,-1.719715162873917,100,0,,50,0,,50,0
2015-11-24,1.7391294521231122,50,0,,50,0,2.2288383055477965,100,0,-1.7198890913158922,100,0,,50,0,,50,0
2015-11-25,1.5791998320403746,50,0,,50,0,2.2288383055477965,100,0,-1.72846100231424,100,0,,50,0,,50,0
2015-11-26,1.4529139646547065,50,0,,50,0,2.2288383055477965,100,0,-1.738516851753572,100,0,,50,0,,50,0
2015-11-27,1.5786511861924892,50,0,,50,0,2.2288383055477965,100,0,-1.7368537154972217,100,0,,50,0,,50,0
2015-11-28,1.6821250299258192,50,0,,50,0,2.2288383055477965,100,0,-1.7327344440194627,100,0,,50,0,,50,0
2015-11-29,1.5408818552983599,50,0,,50,0,2.2288383055477965,100,0,-1.741532822424389,100,0,,50,0,,50,0
2015-11-30,1.5838631756435244,50,0,,50,0,2.2259972034516267,100,0,-1.7419085880644098,100,0,,50,0,,50,0
2015-12-01,1.5185545011836894,50,0,,50,0,2.2259972034516267,100,0,-1.739781992212212,100,0,,50,0,,50,0
2015-12-02,1.342194331100232,50,0,,50,0,2.2259972034516267,100,0,-1.7440187583506201,100,0,,50,0,,50,0
2015-12-03,1.3740085882158113,50,0,,50,0,2.2259972034516267,100,0,-1.743368769880519,100,0,,50,0,,50,0
2015-12-04,1.411077445548957,50,0,,50,0,2.2259972034516267,100,0,-1.7427379089309338,100,0,,50,0,,50,0
