date,mvrv_zscore_raw,mvrv_zscore,ma_200w_ratio_raw,ma_200w,monthly_rsi_raw,monthly_rsi,pi_cycle_ratio_raw,pi_cycle,puell_raw,puell,fear_greed_raw,fear_greed
2011-03-20,0.2163664326434357,50,2.330090014643812,0,91.55588430054172,0,,50,,50,,50
2011-03-21,0.2372929760128125,50,2.37168912733648,0,91.55588430054172,0,,50,,50,,50
2011-03-22,0.3009984488779489,50,2.512946563456056,0,91.55588430054172,0,,50,,50,,50
2011-03-23,0.35210435513965177,50,2.6217197202902125,0,91.55588430054172,0,,50,,50,,50
2011-03-24,0.36887688054835077,50,2.6735581200980483,0,91.55588430054172,0,,50,,50,,50
2011-03-25,0.379679674272627,50,2.6901710280409223,0,91.55588430054172,0,,50,,50,,50
2011-03-26,0.3314611580465365,50,2.5867480578803184,0,91.55588430054172,0,,50,,50,,50
2011-03-27,0.28450688541311614,50,2.4718056722089425,0,91.55588430054172,0,,50,,50,,50
2011-03-28,0.24623444146383186,50,2.3768291332884965,0,91.55588430054172,0,,50,,50,,50
2011-03-29,0.241215105483103,50,2.3574910062588135,0,91.55588430054172,0,,50,,50,,50
2011-03-30,0.2358406702299705,50,2.3368356017100886,0,91.55588430054172,0,,50,,50,,50
2011-03-31,0.22665858184642265,50,2.3098752790177377,0,83.11694597350774,0,,50,,50,,50
2011-04-01,0.21053864578127696,50,2.2677218977880345,0,83.11694597350774,0,,50,,50,,50
2011-04-02,0.2194809060097614,50,2.2794457008454394,0,83.11694597350774,0,,50,,50,,50
2011-04-03,0.21336276179870323,50,2.259686019577517,0,83.11694597350774,0,,50,,50,,50
2011-04-04,0.0791035673810546,50,1.965189057921446,0,83.11694597350774,0,,50,,50,,50
2011-04-05,0.12302118590494328,50,2.0599382289000494,0,83.11694597350774,0,,50,,50,,50
2011-04-06,0.15285760637609097,50,2.1207917788668347,0,83.11694597350774,0,,50,,50,,50
2011-04-07,0.16873373634386107,50,2.150888024218961,0,83.11694597350774,0,,50,,50,,50
2011-04-08,0.16167028543787715,50,2.130849786969733,0,83.11694597350774,0,,50,,50,,50
2011-04-09,0.13979751489151068,50,2.0771143454142016,0,83.11694597350774,0,,50,,50,,50
2011-04-10,0.13734261761145397,50,2.0662415140911428,0,83.11694597350774,0,,50,,50,,50
2011-04-11,0.18201187259298332,50,2.1609597794433006,0,83.11694597350774,0,,50,,50,,50
2011-04-12,0.29235728360411617,50,2.404393203277739,0,83.11694597350774,0,,50,,50,,50
2011-04-13,0.371527252534937,50,2.5815548759527234,0,83.11694597350774,0,,50,,50,,50
2011-04-14,0.44526441467380257,50,2.7531153393065124,0,83.11694597350774,0,,50,,50,,50
2011-04-15,0.41287917125717594,50,2.694920540355494,0,83.11694597350774,0,,50,,50,,50
2011-04-16,0.4789024341796751,50,2.8479274248308544,0,83.11694597350774,0,,50,,50,,50
2011-04-17,0.5266332652212472,50,2.966507822148967,0,83.11694597350774,0,,50,,50,,50
2011-04-18,0.5675387704173307,50,3.0815327426970867,0,83.11694597350774,0,,50,,50,,50
2011-04-19,0.587913097538012,50,3.1524497427384146,0,83.11694597350774,0,,50,,50,,50
2011-04-20,0.5310931508563538,50,3.0157882191023684,0,83.11694597350774,0,,50,,50,,50
2011-04-21,0.593620414789411,50,3.163088203024349,0,83.11694597350774,0,,50,,50,,50
2011-04-22,0.7822816846955656,50,3.644636151590968,0,83.11694597350774,0,,50,,50,,50
2011-04-23,1.1702149213298478,50,4.683150182330376,0,83.11694597350774,0,,50,,50,,50
2011-04-24,0.9327706282831086,50,4.1322796152105985,0,83.11694597350774,0,,50,,50,,50
2011-04-25,0.8458703901531339,50,3.9201970507834543,0,83.11694597350774,0,,50,,50,,50
