date,price,market_cap,mvrv,miner_revenue,fear_greed
2011-02-14,1.07001262419638,5785023.252717728,5.31812686,10586.9592,
2011-02-15,1.05,5688637.5,5.15817185,12366.2629388844,
2011-02-16,1.031687628872,5601393.227816192,5.01369832,12636.6372,
2011-02-17,1.0399231975453,5658118.125524223,5.00090272,12757.6296350265,
2011-02-18,0.898955914669784,4900658.168822328,4.27713788,11235.5565,
2011-02-19,0.944028116890707,5153968.70557066,4.46173899,8372.5616,
2011-02-20,0.865,4731074.25,4.04564986,10200.2,
2011-02-21,0.835747428404442,4579185.5223421985,3.8865163,9212.3854,
2011-02-22,0.877041779661017,4814696.257805085,4.03903963,9724.2248120336,
2011-02-23,0.9,4951665.0,4.11116115,10813.8362898553,
2011-02-24,0.989095265926359,5452090.924839276,4.46075117,10022.659309984,
2011-02-25,0.914652001753361,5052034.599084602,4.09708361,10800.3945326592,
2011-02-26,0.958,5304685.5,4.20136279,13800.56049575,
2011-02-27,0.895033114552893,4966941.517555552,3.85737612,12153.0584,
2011-02-28,0.860220923436587,4780204.660490942,3.66264324,7200.4971396192,
2011-03-01,0.921096891876096,5124476.503108066,3.45556491,6175.4010460815,
2011-03-02,0.9399,5236981.815,3.49629585,8342.448819,
2011-03-03,0.939073383401519,5241109.413771388,3.4729141,8936.73265000001,
2011-03-04,0.9011,5039131.42,3.31231304,10387.677458,
2011-03-05,0.90784060666277,5089399.832981821,3.30711769,13068.7349760186,
2011-03-06,0.884770973115138,4972191.676163796,3.2074455,12608.78538,
2011-03-07,0.877583864406779,4941060.431769488,3.17308684,9605.93913814081,
2011-03-08,0.866071591466979,4884340.650816748,3.11400943,8785.1036000182,
2011-03-09,0.86,4856979.0,3.08389438,7472.977013673,
2011-03-10,0.920670309760374,5204687.361621858,3.286687,4929.9697369472,
2011-03-11,0.88,4980492.0,3.13277134,5790.8581839435,
2011-03-12,0.917815513150205,5200939.277592609,3.23180751,6604.4572506474,
2011-03-13,0.89249,5062649.525,3.12541924,5475.624161514,
2011-03-14,0.893924922852133,5075795.104446696,3.09976092,5279.6620451575,
2011-03-15,0.87224,4957550.488,3.0094772,5041.647179991,
2011-03-16,0.851211665692578,4843819.9836236155,2.90524469,6121.629,
2011-03-17,0.82542,4702871.721,2.80330055,6275.7365597166,
2011-03-18,0.801959208065459,4574014.441161749,2.72116816,5221.1757179913,
2011-03-19,0.765,4367614.5,2.5915635,5083.039746078,
2011-03-20,0.7415,4238525.225,2.50871253,5783.87580453401,
2011-03-21,0.75897,4344002.7435,2.56031946,5852.8476354305,
2011-03-22,0.809130292811222,4635912.012661896,2.71742347,4708.818858,
2011-03-23,0.84971,4875083.6685,2.8434557,6698.12778578701,
2011-03-24,0.872374365867914,5011747.113192873,2.88481841,6715.1897994684,
2011-03-25,0.88377,5084859.072,2.91145917,7969.72743000001,
2011-03-26,0.8552,4926379.6,2.79254753,6323.102989,
2011-03-27,0.822,4741008.3,2.67675364,6530.69720943,
2011-03-28,0.794740500292227,4590460.866712918,2.58237,7746.9961,
2011-03-29,0.792509941554646,4584036.003940383,2.56999182,6848.87288400841,
2011-03-30,0.789706312098189,4573978.959672711,2.55673793,6243.30472,
2011-03-31,0.78461,4552346.4505,2.53409399,8283.2,
2011-04-01,0.77411,4498237.0935,2.49434063,8883.59999999999,
2011-04-02,0.78199,4551064.5015,2.51639313,7442.22432001599,
2011-04-03,0.779,4540479.4,2.50130518,7403.60729063999,
2011-04-04,0.68,3969500.0,2.1702087,11287.774283776,
2011-04-05,0.715691834599649,4184793.295271068,2.2785139,7781.10471600001,
2011-04-06,0.74,4332404.0,2.35209347,5403.5282160072,
2011-04-07,0.7538,4418737.91,2.39124558,5589.78015,
2011-04-08,0.74999,4402628.7975,2.37382641,6555.22147800001,
2011-04-09,0.734060517241379,4314844.423370688,2.31988599,6165.3259,
